City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
611,Altamont,US,78.01,clear sky,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
613,Batemans Bay,AU,84.0,few clouds,-35.72,150.18,Batemans Bay Marina Resort
616,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
618,Sancti Spiritus,CU,78.48,broken clouds,21.93,-79.44,Hostal El Parque
619,Kununurra,AU,82.4,broken clouds,-15.77,128.73,Hotel Kununurra
621,Morant Bay,JM,82.4,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
626,Trairi,BR,78.58,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
629,Los Chiles,CR,77.47,broken clouds,11.03,-84.72,Cabinas y Apartamentos Felicia
630,Dangriga,BZ,84.2,scattered clouds,16.97,-88.23,Chaleanor Hotel
631,Nouakchott,MR,82.4,few clouds,18.09,-15.98,Hôtel Iman
632,Araouane,ML,83.19,light rain,18.9,-3.53,
633,Tambilil,PH,84.72,light rain,5.96,124.67,Wilfredo Sotto Home
638,Manaure,CO,82.02,light rain,11.78,-72.44,Del mar vendra
640,Parintins,BR,85.62,scattered clouds,-2.63,-56.74,Cama e Cafe
641,Aracaju,BR,80.6,scattered clouds,-10.91,-37.07,HOTEL FÊNIX
644,Kasiri,SL,75.54,moderate rain,8.94,-13.11,
649,Kamalpur,IN,76.3,overcast clouds,24.2,91.83,Sagar Guest House. সাগর গেস্ট হাউস
653,Jibuti,DJ,82.4,clear sky,11.5,42.5,Orchid Main Camp Goubet
656,San Pedro,PH,82.4,few clouds,14.35,121.02,OYO 412 Viewfort Venue
660,Tawau,MY,77.0,moderate rain,4.25,117.89,Shervinton Executive Boutique Hotel
661,Mana,GF,79.81,broken clouds,5.66,-53.78,LE SAMANA
665,Padang,ID,78.44,broken clouds,-0.95,100.35,Mercure Padang
671,Tuban,ID,80.8,scattered clouds,-6.9,112.06,Hotel Mustika
674,Takoradi,GH,76.28,broken clouds,4.88,-1.76,Raybow International Hotel
677,Doha,QA,89.6,clear sky,25.29,51.53,Doha Marriott Hotel
680,Douentza,ML,88.9,overcast clouds,15.0,-2.95,Ogomono Doumbo
683,Cairns,AU,84.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
684,Gigmoto,PH,83.23,scattered clouds,13.78,124.39,Cj's Travellers Inn
686,Caronport,CA,77.0,overcast clouds,50.45,-105.82,Pilgrim Inn
687,Nortelandia,BR,89.06,few clouds,-14.45,-56.8,Hotel Karysmã
688,Codajas,BR,80.71,light rain,-3.84,-62.06,Hotel Tamires
689,Pouebo,NC,77.61,clear sky,-20.4,164.57,
692,Cody,US,77.0,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
